file,duckdbauto_success,duckdbauto_header_precision,duckdbauto_header_recall,duckdbauto_header_f1,duckdbauto_record_precision,duckdbauto_record_recall,duckdbauto_record_f1,duckdbauto_cell_precision,duckdbauto_cell_recall,duckdbauto_cell_f1
row_extra_quote14_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_more_sep_row5_col3.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_more_sep_row10_col0.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_less_sep_row2_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_more_sep_row13_col2.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_more_sep_row2_col4.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_extra_quote3_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_more_sep_row3_col1.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_extra_quote0_col0.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_extra_quote10_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_more_sep_row8_col2.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_extra_quote17_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_less_sep_row15_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_more_sep_row19_col0.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_extra_quote5_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_less_sep_row4_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_less_sep_row10_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_extra_quote1_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_field_delimiter_5_0x20.csv,1,1.0,1.0,1.0,0.95,0.95,0.9500000000000001,0.9523809523809523,0.9523809523809523,0.9523809523809523
row_less_sep_row4_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_less_sep_row19_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_less_sep_row5_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_more_sep_row11_col0.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_extra_quote4_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
row_field_delimiter_1_0x20.csv,1,1.0,1.0,1.0,0.95,0.95,0.9500000000000001,0.9523809523809523,0.9523809523809523,0.9523809523809523
row_less_sep_row16_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_less_sep_row20_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9809523809523809,0.9809523809523809
row_more_sep_row13_col3.csv,1,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
row_extra_quote3_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
