file,pycsv_success,pycsv_header_precision,pycsv_header_recall,pycsv_header_f1,pycsv_record_precision,pycsv_record_recall,pycsv_record_f1,pycsv_cell_precision,pycsv_cell_recall,pycsv_cell_f1
row_extra_quote14_col4.csv,1,1.0,1.0,1.0,0.65,0.9285714285714286,0.7647058823529412,0.7047619047619048,0.9866666666666667,0.8222222222222222
row_more_sep_row5_col3.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row10_col0.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_less_sep_row2_col2.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row13_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_more_sep_row2_col4.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_extra_quote3_col1.csv,1,1.0,1.0,1.0,0.1,0.6666666666666666,0.1739130434782609,0.1523809523809524,0.9411764705882353,0.26229508196721313
row_more_sep_row3_col1.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_extra_quote0_col0.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_extra_quote10_col3.csv,1,1.0,1.0,1.0,0.45,0.9,0.6,0.5047619047619047,0.9814814814814815,0.6666666666666667
row_more_sep_row8_col2.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_extra_quote17_col1.csv,1,1.0,1.0,1.0,0.8,0.9411764705882353,0.8648648648648648,0.819047619047619,0.9885057471264368,0.8958333333333333
row_less_sep_row15_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_more_sep_row19_col0.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_extra_quote5_col2.csv,1,1.0,1.0,1.0,0.2,0.8,0.32000000000000006,0.2571428571428571,0.9642857142857143,0.4060150375939849
row_less_sep_row4_col2.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_less_sep_row10_col1.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_extra_quote1_col3.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0761904761904762,0.8888888888888888,0.14035087719298248
row_field_delimiter_5_0x20.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_less_sep_row4_col4.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_less_sep_row19_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_less_sep_row5_col1.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row11_col0.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_extra_quote4_col3.csv,1,1.0,1.0,1.0,0.15,0.75,0.24999999999999997,0.21904761904761905,0.9583333333333334,0.35658914728682173
row_field_delimiter_1_0x20.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_less_sep_row16_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_less_sep_row20_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_more_sep_row13_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_extra_quote3_col4.csv,1,1.0,1.0,1.0,0.1,0.6666666666666666,0.1739130434782609,0.18095238095238095,0.95,0.304
row_more_sep_row6_col0.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_extra_quote11_col4.csv,1,1.0,1.0,1.0,0.5,0.9090909090909091,0.6451612903225806,0.5619047619047619,0.9833333333333333,0.7151515151515152
row_extra_quote11_col2.csv,1,1.0,1.0,1.0,0.5,0.9090909090909091,0.6451612903225806,0.5428571428571428,0.9827586206896551,0.6993865030674845
row_less_sep_row13_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_field_delimiter_4_0x20.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row2_col3.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row15_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_more_sep_row15_col0.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_less_sep_row2_col4.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row4_col3.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_extra_quote1_col4.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.08571428571428572,0.9,0.1565217391304348
row_less_sep_row15_col2.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_less_sep_row1_col1.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_less_sep_row9_col3.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_field_delimiter_3_0x20.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
row_more_sep_row18_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_extra_quote19_col0.csv,1,1.0,1.0,1.0,0.9,0.9473684210526315,0.9230769230769231,0.9047619047619048,0.9895833333333334,0.945273631840796
row_less_sep_row15_col4.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
row_extra_quote2_col2.csv,1,1.0,1.0,1.0,0.05,0.5,0.09090909090909091,0.11428571428571428,0.9230769230769231,0.20338983050847456
row_more_sep_row12_col0.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905660377358491,0.9952606635071091
row_extra_quote0_col3.csv,1,0.6,0.75,0.6666666666666665,0.0,0.0,0.0,0.02857142857142857,0.75,0.05504587155963303
row_less_sep_row10_col3.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.9903846153846154,0.985645933014354
file_header_multirow_2.csv,1,0.0,0.0,0.0,1.0,0.9523809523809523,0.975609756097561,0.9523809523809523,0.9090909090909091,0.9302325581395349
